Scientific_Name,Habitat,count
"Vireo olivaceus",Forest,694
"Thryothorus ludovicianus",Forest,646
"Cardinalis cardinalis",Forest,595
"Baeolophus bicolor",Forest,541
"Cardinalis cardinalis",Grassland,530
"Contopus virens",Forest,486
"Passerina cyanea",Grassland,461
"Spizella pusilla",Grassland,456
"Empidonax virescens",Forest,436
"Melanerpes carolinus",Forest,398
"Spizella passerina",Grassland,353
"Thryothorus ludovicianus",Grassland,347
"Ammodramus savannarum",Grassland,346
"Polioptila caerulea",Forest,310
"Carduelis tristis",Grassland,310
"Seiurus aurocapillus",Forest,303
"Turdus migratorius",Forest,294
"Hylocichla mustelina",Forest,290
"Poecile carolinensis",Forest,273
"Agelaius phoeniceus",Grassland,273
"Melospiza melodia",Grassland,222
"Cyanocitta cristata",Forest,213
"Picoides pubescens",Forest,208
"Piranga olivacea",Forest,199
"Zenaida macroura",Grassland,197
"Molothrus ater",Grassland,193
"Sitta carolinensis",Forest,188
"Baeolophus bicolor",Grassland,179
"Turdus migratorius",Grassland,176
"Sturnella magna",Grassland,170
"Sialia sialis",Grassland,167
"Zenaida macroura",Forest,162
"Pipilo erythrophthalmus",Grassland,159
"Myiarchus crinitus",Forest,154
"Passerina cyanea",Forest,150
"Spinus tristis",Forest,147
"Corvus brachyrhynchos",Forest,142
"Corvus brachyrhynchos",Grassland,137
"Molothrus ater",Forest,136
"Coccyzus americanus",Forest,133
"Mimus polyglottos",Grassland,130
"Hirundo rustica",Grassland,130
"Cyanocitta cristata",Grassland,119
"Setophaga americana",Forest,114
"Quiscalus quiscula",Grassland,107
"Geothlypis trichas",Grassland,101
"Pipilo erythrophthalmus",Forest,98
"Dryocopus pileatus",Forest,96
"Polioptila caerulea",Grassland,94
"Poecile carolinensis",Grassland,93
"Melanerpes carolinus",Grassland,91
"Contopus virens",Grassland,88
"Sturnus vulgaris",Grassland,81
"Dumetella carolinensis",Grassland,73
"Myiarchus crinitus",Grassland,68
"Setophaga citrina",Forest,64
"Bombycilla cedrorum",Grassland,62
"Spizella passerina",Forest,58
"Vireo flavifrons",Forest,55
"Troglodytes aedon",Grassland,53
"Picoides pubescens",Grassland,52
"Bombycilla cedrorum",Forest,51
"Quiscalus quiscula",Forest,51
"Agelaius phoeniceus",Forest,50
"Tyrannus tyrannus",Grassland,50
"Tachycineta bicolor",Grassland,49
"Vireo olivaceus",Grassland,44
"Parkesia motacilla",Forest,43
"Coccyzus americanus",Grassland,43
"Setophaga pinus",Forest,42
"Picoides villosus",Forest,41
"Icterus galbula",Grassland,41
"Cathartes aura",Grassland,41
"Geothlypis trichas",Forest,38
"Spizella pusilla",Forest,36
"Dumetella carolinensis",Forest,36
"Vireo gilvus",Grassland,33
"Melospiza melodia",Forest,32
"Helmitheros vermivorus",Forest,31
"Mniotilta varia",Forest,28
"Corvus ossifragus",Grassland,28
"Empidonax virescens",Grassland,26
"Setophaga ruticilla",Forest,25
"Vireo gilvus",Forest,25
"Sitta carolinensis",Grassland,25
"Sialia sialis",Forest,23
Poecile,Forest,21
"Icterus galbula",Forest,20
"Colaptes auratus",Forest,20
"Catharus ustulatus",Forest,20
"Buteo lineatus",Forest,20
"Stelgidopteryx serripennis",Grassland,20
"Hylocichla mustelina",Grassland,19
"Eremophila alpestris",Grassland,18
"Setophaga discolor",Grassland,18
"Piranga olivacea",Grassland,17
"Sayornis phoebe",Forest,16
"Setophaga striata",Forest,16
Corvus,Grassland,16
"Toxostoma rufum",Grassland,15
"Sayornis phoebe",Grassland,15
"Guiraca caerulea",Grassland,15
"Corvus ossifragus",Forest,14
"Icterus spurius",Grassland,14
"Setophaga petechia",Forest,13
"Meleagris gallopavo",Forest,13
"Chaetura pelagica",Forest,13
"Setophaga striata",Grassland,13
Poecile,Grassland,13
"Chaetura pelagica",Grassland,13
"Colaptes auratus",Grassland,13
"Charadrius vociferus",Grassland,13
"Vireo griseus",Forest,12
"Branta canadensis",Grassland,12
"Picoides villosus",Grassland,12
"Dryocopus pileatus",Grassland,12
"Mimus polyglottos",Forest,11
"Troglodytes aedon",Forest,11
"Strix varia",Forest,11
"Branta canadensis",Forest,10
"Buteo lineatus",Grassland,10
"Setophaga caerulescens",Forest,9
"Catharus fuscescens",Forest,9
"Setophaga americana",Grassland,9
"Ardea herodias",Grassland,9
"Setophaga pinus",Grassland,8
"Setophaga cerulea",Forest,7
"Toxostoma rufum",Forest,7
"Phalacrocorax auritus",Forest,7
"Pandion haliaetus",Forest,7
"Passer domesticus",Forest,7
"Setophaga discolor",Forest,7
"Falco sparverius",Grassland,7
"Setophaga ruticilla",Grassland,7
"Passer domesticus",Grassland,7
"Sturnus vulgaris",Forest,6
"Sturnella magna",Forest,6
"Buteo jamaicensis",Grassland,6
"Dolichonyx oryzivorus",Grassland,6
"Setophaga petechia",Grassland,6
"Ammodramus savannarum",Forest,5
"Ardea herodias",Forest,5
"Cathartes aura",Forest,5
"Setophaga tigrina",Forest,5
"Haliaeetus leucocephalus",Grassland,5
"Icteria virens",Grassland,5
"Progne subis",Grassland,5
Hirundinidae,Grassland,5
Corvus,Forest,4
"Anas platyrhynchos",Forest,4
"Icteria virens",Forest,4
"Setophaga castanea",Forest,4
"Columba livia",Grassland,4
"Icterus spurius",Forest,3
"Aix sponsa",Forest,3
"Ceryle alcyon",Forest,3
"Setophaga dominica",Forest,3
"Setophaga virens",Forest,3
"Setophaga coronata",Forest,3
"Piranga rubra",Forest,3
"Coragyps atratus",Grassland,3
"Vireo flavifrons",Grassland,3
"Hirundo rustica",Forest,2
"Tyrannus tyrannus",Forest,2
"Butorides virescens",Forest,2
"Poecile atricapillus",Forest,2
"Parkesia noveboracensis",Forest,2
"Stelgidopteryx serripennis",Forest,2
"Junco hyemalis",Forest,2
Picadae,Forest,2
"Setophaga magnolia",Forest,2
"Buteo jamaicensis",Forest,2
"Pooecetes gramineus",Grassland,2
"Accipiter cooperii",Grassland,2
"Archilochus colubris",Grassland,2
"Catharus fuscescens",Grassland,2
"Meleagris gallopavo",Grassland,2
"Empidonax traillii",Grassland,2
